k,inertia,silhouette
2,6883567.0,0.2873373925685882
3,6292785.0,0.17639915645122528
4,5036292.0,0.21740667521953583
5,4409801.0,0.23631957173347473
6,4173135.75,0.19517304003238678
7,3921034.25,0.18871858716011047
8,3750020.5,0.19076000154018402
9,3520920.0,0.18226449191570282
10,3298720.75,0.1934504359960556
11,3153278.0,0.1972506195306778
12,3040113.0,0.19359131157398224
13,2906305.75,0.20185281336307526
14,2795296.5,0.20607677102088928
15,2699421.5,0.20625966787338257
16,2616237.25,0.20491766929626465
17,2566604.0,0.20650815963745117
18,2498363.5,0.20769202709197998
19,2414767.0,0.2075566202402115
20,2379235.5,0.1991869956254959
